,,0,1,2,3,4,5,6,7,8,9
5,5,"('Hit', 0.5195730068884997)","('Hit', 0.5238409556672337)","('Double', 0.7258625629507305)","('Double', 0.7591188690611372)","('Double', 0.8018778820292204)","('Double', 0.8465726643311517)","('Double', 0.8735878715346604)","('Double', 0.7499449672079643)","('Double', 0.6750219829924882)","('Double', 0.596463919623742)"
6,0,"('Hit', 0.24644417679263644)","('Hit', 0.23834724731849583)","('Stay', 0.36565865586509716)","('Stay', 0.38848957254765726)","('Stay', 0.41962885853781867)","('Stay', 0.4452589468146598)","('Stay', 0.4433334101785532)","('Hit', 0.31367237858421027)","('Hit', 0.28893927024669164)","('Hit', 0.2608970596124682)"
6,1,"('Hit', 0.40646562824394195)","('Hit', 0.39285237415262036)","('Double', 0.5196562766188986)","('Double', 0.550778187279821)","('Double', 0.5946612086775239)","('Double', 0.658292804619256)","('Double', 0.6528893933891795)","('Hit', 0.5347188359263596)","('Hit', 0.47131934508593004)","('Hit', 0.43470023152660103)"
6,2,"('Hit', 0.37525877073905944)","('Hit', 0.36575380628923604)","('Hit', 0.49612092665720525)","('Hit', 0.5165689032932665)","('Hit', 0.5468874561140696)","('Double', 0.5839794878778909)","('Double', 0.5782871199695128)","('Hit', 0.5501068702887333)","('Hit', 0.47496259445327227)","('Hit', 0.39734313503321567)"
6,3,"('Hit', 0.4297600231387899)","('Hit', 0.4403388848194519)","('Double', 0.5613419953392699)","('Double', 0.6033173738744552)","('Double', 0.6542819263070071)","('Double', 0.7099056229384768)","('Double', 0.7006633031826643)","('Double', 0.6051884613470546)","('Hit', 0.5613733531135663)","('Hit', 0.47567587811486617)"
6,4,"('Hit', 0.5172519449786964)","('Hit', 0.5234654744245375)","('Double', 0.7190369281083105)","('Double', 0.754986823195514)","('Double', 0.7982963462530521)","('Double', 0.8500125198736209)","('Double', 0.8413761926475548)","('Double', 0.75276737592124)","('Double', 0.6710652140891167)","('Double', 0.5904171701846709)"
6,5,"('Double', 0.5909831452884455)","('Double', 0.6216313466472374)","('Double', 0.7885005198357999)","('Double', 0.8212184614392231)","('Double', 0.86120815696282)","('Double', 0.8959068386663545)","('Double', 0.8966807586497283)","('Double', 0.7649472133113897)","('Double', 0.6946612539096805)","('Double', 0.627330028955962)"
6,6,"('Hit', 0.3072324064241103)","('Hit', 0.30474517446585714)","('Split', 0.4693089549865539)","('Split', 0.5274742562080914)","('Split', 0.5999436315568656)","('Split', 0.6728647404659736)","('Split', 0.6375975554553988)","('Split', 0.4160082498998908)","('Hit', 0.34092707473951234)","('Hit', 0.3074661710866856)"
7,0,"('Stay', 0.2977902671555966)","('Stay', 0.2610993310123977)","('Stay', 0.4262117322183932)","('Stay', 0.4470068199055335)","('Stay', 0.47557816851124063)","('Stay', 0.48846492991693485)","('Stay', 0.4959713324340683)","('Stay', 0.4481494186795296)","('Stay', 0.3096941904852889)","('Stay', 0.2966804264882599)"
7,1,"('Hit', 0.43173026356781713)","('Hit', 0.418617544548307)","('Double', 0.5716308429936351)","('Double', 0.6039350168121131)","('Double', 0.667410646176674)","('Double', 0.6884426382567498)","('Double', 0.699338570244632)","('Stay', 0.7110803947917155)","('Stay', 0.5638211971099627)","('Hit', 0.4574396883054873)"
7,2,"('Hit', 0.4233773704081379)","('Hit', 0.43142343802606664)","('Double', 0.5665251513145817)","('Double', 0.6050861622684326)","('Double', 0.6466264483849755)","('Double', 0.678836300795912)","('Double', 0.6886244998759798)","('Double', 0.5993377381040271)","('Hit', 0.5553785271307808)","('Hit', 0.4744451516244989)"
7,3,"('Hit', 0.5147734580482392)","('Hit', 0.5196730496311419)","('Double', 0.7168404616565374)","('Double', 0.7525671022590185)","('Double', 0.7930766502283141)","('Double', 0.8174305086458151)","('Double', 0.8273701989942804)","('Double', 0.7397131526209845)","('Double', 0.6741934251455955)","('Double', 0.5842710044217934)"
7,4,"('Double', 0.5932160648158824)","('Double', 0.6189209999303642)","('Double', 0.7768287049621785)","('Double', 0.812604895486385)","('Double', 0.8478376590427363)","('Double', 0.8728464687809647)","('Double', 0.8822089503468513)","('Double', 0.7624683824316864)","('Double', 0.6810900355829472)","('Double', 0.6196576849135991)"
7,5,"('Hit', 0.30881991305028167)","('Hit', 0.3046923787214503)","('Stay', 0.38301652979388684)","('Stay', 0.407111407617925)","('Stay', 0.43956717917728205)","('Stay', 0.4539353481970666)","('Stay', 0.4611661572502255)","('Hit', 0.3731607157458352)","('Hit', 0.3411418801646546)","('Hit', 0.3063519925226517)"
7,6,"('Hit', 0.2752240637442085)","('Hit', 0.2721015616948367)","('Stay', 0.3816495893275401)","('Stay', 0.4062382900478627)","('Stay', 0.4377049451074925)","('Stay', 0.4514892522462272)","('Stay', 0.44701661532020626)","('Hit', 0.3368042689234099)","('Hit', 0.3043322610250414)","('Hit', 0.29135182607958277)"
7,7,"('Stay', 0.2516949183434956)","('Hit', 0.243337684519273)","('Split', 0.4934987805390916)","('Split', 0.5472918463637384)","('Split', 0.6180783953603166)","('Split', 0.6385128451664115)","('Split', 0.6497865173979895)","('Split', 0.4928082789180065)","('Split', 0.3192846136910661)","('Hit', 0.2631411341652)"
8,0,"('Stay', 0.4229327976980075)","('Stay', 0.3991380548019625)","('Stay', 0.5536721056466513)","('Stay', 0.5696981167479064)","('Stay', 0.5790174475281276)","('Stay', 0.6029361361213511)","('Stay', 0.6070408551399382)","('Stay', 0.6991250289910773)","('Stay', 0.5509462005399931)","('Stay', 0.40377573137321304)"
8,1,"('Stay', 0.5312294847829967)","('Stay', 0.5975174381937244)","('Stay', 0.6943813997771466)","('Stay', 0.7065313369609505)","('Stay', 0.7045596544467517)","('Double', 0.7371691814491249)","('Double', 0.748747831576098)","('Stay', 0.8098041600907631)","('Stay', 0.8054515755593596)","('Stay', 0.6440138956790478)"
8,2,"('Hit', 0.5149494102924564)","('Hit', 0.5187122403102952)","('Double', 0.7176005820660509)","('Double', 0.7480373163384707)","('Double', 0.759914578673603)","('Double', 0.8045070299060884)","('Double', 0.8153975707036385)","('Double', 0.7205351919964768)","('Double', 0.6642472311827953)","('Double', 0.5954794909848156)"
8,3,"('Double', 0.5889086080685539)","('Double', 0.6072480842591)","('Double', 0.7734391935828754)","('Double', 0.8032916385260125)","('Double', 0.8209774761093624)","('Double', 0.8589669518297663)","('Double', 0.8696185758882525)","('Double', 0.7483241793638022)","('Double', 0.6835866515971168)","('Double', 0.6160789886793695)"
8,4,"('Hit', 0.3081806720923114)","('Hit', 0.3052840258687729)","('Hit', 0.3726453426121093)","('Stay', 0.4028311691866985)","('Stay', 0.42386871081690103)","('Stay', 0.4488021708857768)","('Stay', 0.4587004398385449)","('Hit', 0.3795473192444112)","('Hit', 0.34217789784979563)","('Hit', 0.30486230606902154)"
